2.041000000000000000e+03,1.140000000000000000e+02,1.040000000000000000e+02
1.736000000000000000e+03,1.190000000000000000e+02,1.140000000000000000e+02
1.410000000000000000e+03,1.200000000000000000e+02,1.070000000000000000e+02
1.106000000000000000e+03,1.290000000000000000e+02,9.600000000000000000e+01
8.040000000000000000e+02,1.430000000000000000e+02,1.080000000000000000e+02
4.850000000000000000e+02,1.420000000000000000e+02,1.130000000000000000e+02
1.740000000000000000e+02,1.530000000000000000e+02,1.100000000000000000e+02
2.361000000000000000e+03,4.250000000000000000e+02,1.090000000000000000e+02
2.054000000000000000e+03,4.280000000000000000e+02,1.160000000000000000e+02
1.747000000000000000e+03,4.340000000000000000e+02,1.160000000000000000e+02
1.435000000000000000e+03,4.350000000000000000e+02,1.200000000000000000e+02
1.114000000000000000e+03,4.410000000000000000e+02,9.600000000000000000e+01
8.050000000000000000e+02,4.460000000000000000e+02,1.160000000000000000e+02
4.870000000000000000e+02,4.560000000000000000e+02,1.000000000000000000e+02
1.680000000000000000e+02,4.600000000000000000e+02,1.220000000000000000e+02
2.386000000000000000e+03,7.310000000000000000e+02,1.070000000000000000e+02
2.062000000000000000e+03,7.370000000000000000e+02,1.210000000000000000e+02
1.751000000000000000e+03,7.410000000000000000e+02,1.220000000000000000e+02
1.438000000000000000e+03,7.490000000000000000e+02,1.200000000000000000e+02
1.113000000000000000e+03,7.490000000000000000e+02,1.120000000000000000e+02
8.110000000000000000e+02,7.500000000000000000e+02,1.120000000000000000e+02
4.860000000000000000e+02,7.630000000000000000e+02,1.150000000000000000e+02
1.740000000000000000e+02,7.750000000000000000e+02,9.800000000000000000e+01
2.370000000000000000e+03,1.041000000000000000e+03,1.100000000000000000e+02
2.069000000000000000e+03,1.051000000000000000e+03,9.300000000000000000e+01
1.757000000000000000e+03,1.056000000000000000e+03,1.220000000000000000e+02
1.444000000000000000e+03,1.064000000000000000e+03,1.230000000000000000e+02
1.125000000000000000e+03,1.069000000000000000e+03,1.220000000000000000e+02
8.190000000000000000e+02,1.070000000000000000e+03,1.130000000000000000e+02
4.990000000000000000e+02,1.087000000000000000e+03,1.070000000000000000e+02
1.870000000000000000e+02,1.086000000000000000e+03,1.170000000000000000e+02
2.387000000000000000e+03,1.348000000000000000e+03,1.210000000000000000e+02
2.076000000000000000e+03,1.366000000000000000e+03,9.300000000000000000e+01
1.758000000000000000e+03,1.374000000000000000e+03,1.080000000000000000e+02
1.453000000000000000e+03,1.376000000000000000e+03,9.500000000000000000e+01
1.137000000000000000e+03,1.382000000000000000e+03,9.400000000000000000e+01
8.210000000000000000e+02,1.396000000000000000e+03,1.160000000000000000e+02
4.980000000000000000e+02,1.397000000000000000e+03,1.160000000000000000e+02
1.900000000000000000e+02,1.396000000000000000e+03,1.100000000000000000e+02
2.389000000000000000e+03,1.665000000000000000e+03,1.100000000000000000e+02
2.073000000000000000e+03,1.668000000000000000e+03,1.150000000000000000e+02
1.773000000000000000e+03,1.680000000000000000e+03,1.150000000000000000e+02
1.454000000000000000e+03,1.689000000000000000e+03,1.210000000000000000e+02
1.142000000000000000e+03,1.703000000000000000e+03,1.090000000000000000e+02
8.250000000000000000e+02,1.702000000000000000e+03,1.020000000000000000e+02
5.070000000000000000e+02,1.713000000000000000e+03,1.170000000000000000e+02
